MSU	logFC	adj.p.value	RAP	Name	Description	Type	SYMBOL	ENTREZ	RAP.description	RAP.name	RAP.synonym	CGSNL.symbol	CGSNL.name	Oryzabase.name	Oryzabase.synonym	Oryzabase.protein	AM_gene_description	AM_gene_otherinfo	NCBI.Name	GO.term	GO.name
LOC_Os01g52260	3.0113660574298167	4.7603469211305216e-99	Os01g0720700	OsSAT	Similar to satase isoform I	protein_coding	LOC4324655	4324655	Serine acetyltransferase 1, Hub protein regulated by cross-talk of JA, ABA and auxin hormones, Salt stress response	OsSAT1;1	serine acetyltransferase 1;1	NA	NA	OsSAT, SAT, OsSAT1;1	serine acetyl transferase, serine acetyltransferase 1;1	SERINE ACETYLTRANSFERASE 1;1	NA	NA	probable serine acetyltransferase 1	GO:0005737, GO:0006535, GO:0009001, GO:0016740, GO:0006790, GO:0009651, GO:0009733, GO:0009734, GO:0009737, GO:0009738, GO:0009753, GO:0009867	cytoplasm, cysteine biosynthetic process from serine, serine O-acetyltransferase activity, transferase activity, sulfur compound metabolic process, response to salt stress, response to auxin, auxin-activated signaling pathway, response to abscisic acid, abscisic acid-activated signaling pathway, response to jasmonic acid, jasmonic acid mediated signaling pathway
LOC_Os02g48900	1.6131025730300597	5.744961744904703e-99	Os02g0720900	NA	Peptidase A1 domain containing protein	protein_coding	LOC4330554	4330554	Peptidase A1 domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	aspartyl protease family protein At5g10770	GO:0008233, GO:0004190, GO:0006508, GO:0003677, GO:0030163, GO:0016787, GO:0016021, GO:0016020	peptidase activity, aspartic-type endopeptidase activity, proteolysis, DNA binding, protein catabolic process, hydrolase activity, integral component of membrane, membrane
LOC_Os02g48900	1.6131025730300597	5.744961744904703e-99	Os02g0720900	NA	Peptidase A1 domain containing protein	protein_coding	LOC4330554	4330554	Hypothetical protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	aspartyl protease family protein At5g10770	GO:0008233, GO:0004190, GO:0006508, GO:0003677, GO:0030163, GO:0016787, GO:0016021, GO:0016020	peptidase activity, aspartic-type endopeptidase activity, proteolysis, DNA binding, protein catabolic process, hydrolase activity, integral component of membrane, membrane
LOC_Os02g48900	1.6131025730300597	5.744961744904703e-99	Os02g0720900	NA	Peptidase A1 domain containing protein	protein_coding	LOC4330554	4330554	Similar to Aspartic proteinase nepenthesin-1.	NA	NA	NA	NA	NA	NA	NA	NA	NA	aspartyl protease family protein At5g10770	GO:0008233, GO:0004190, GO:0006508, GO:0003677, GO:0030163, GO:0016787, GO:0016021, GO:0016020	peptidase activity, aspartic-type endopeptidase activity, proteolysis, DNA binding, protein catabolic process, hydrolase activity, integral component of membrane, membrane
LOC_Os11g37900	1.6158650414165239	1.817928974440121e-95	Os11g0591200	NA	Similar to 3-ketoacyl-CoA synthase	protein_coding	LOC4350817	4350817	Similar to 3-ketoacyl-CoA synthase.	NA	NA	NA	NA	NA	NA	NA	NA	NA	3-ketoacyl-CoA synthase 20	GO:0016747, GO:0006633, GO:0016020, GO:0016746, GO:0102756, GO:0003824, GO:0008152, GO:0008610	acyltransferase activity, transferring groups other than amino-acyl groups, fatty acid biosynthetic process, membrane, acyltransferase activity, very-long-chain 3-ketoacyl-CoA synthase activity, catalytic activity, metabolic process, lipid biosynthetic process
LOC_Os01g03640	2.2158205740329002	7.795598870531041e-94	Os01g0127200	OsLPR5	Multicopper oxidase, Maintenance of Pi homeostasi	protein_coding	LOC9267869	9267869	Multicopper oxidase, Maintenance of Pi homeostasis	OsLPR5, OsSTA2	Low Phosphate Root5	LPR5	LOW PHOSPHATE ROOT 5	OsSTA2, STA2, OsLPR5	Low Phosphate Root5, Low Phosphate Root 5	NA	NA	NA	multicopper oxidase LPR1 homolog 5-like	GO:0005507, GO:0005789, GO:0016491, GO:0016722, GO:0016020, GO:0046872, GO:0005783, GO:0055114, GO:0004322, GO:0005618, GO:0006817, GO:0016036, GO:0042594, GO:0048364, GO:0055062	NA
LOC_Os01g04950	1.6611094576515326	6.099950095561255e-93	Os01g0142800	OsNPF8.1	Putative peptide transporter, Long-distance translocation of dimethylarsinate to rice grai	protein_coding	LOC4325456	NA	Putative peptide transporter, Long-distance translocation of dimethylarsinate to rice grain	OsNPF8.1, OsPTR7, PTR7	PROTEIN TRANSPORTER 7, peptide transporter 7	PTR7	PROTEIN TRANSPORTER 7	OsPTR7, OsNPF8.1, NPF8.1, OsNPF8.10, NPF8.10	NITRATE TRANSPORTER 1/PEPTIDE TRANSPORTER 8.1	PROTEIN TRANSPORTER 7	NA	NA	protein NRT1/ PTR FAMILY 8.2	GO:0022857, GO:0055085, GO:0006857, GO:0016021, GO:0016020, GO:0015333, GO:0035673, GO:1904680, GO:0005215, GO:0006810, GO:0005886	transmembrane transporter activity, transmembrane transport, oligopeptide transport, integral component of membrane, membrane, peptide:proton symporter activity, oligopeptide transmembrane transporter activity, peptide transmembrane transporter activity, transporter activity, transport, plasma membrane
LOC_Os01g04950	1.6611094576515326	6.099950095561255e-93	Os01g0142800	OsNPF8.1	Putative peptide transporter, Long-distance translocation of dimethylarsinate to rice grai	protein_coding	LOC4325456	NA	Similar to cDNA clone:J023036E09, full insert sequence (Fragment).	NA	NA	PTR7	PROTEIN TRANSPORTER 7	OsPTR7, OsNPF8.1, NPF8.1, OsNPF8.10, NPF8.10	NITRATE TRANSPORTER 1/PEPTIDE TRANSPORTER 8.1	PROTEIN TRANSPORTER 7	NA	NA	protein NRT1/ PTR FAMILY 8.2	GO:0022857, GO:0055085, GO:0006857, GO:0016021, GO:0016020, GO:0015333, GO:0035673, GO:1904680, GO:0005215, GO:0006810, GO:0005886	transmembrane transporter activity, transmembrane transport, oligopeptide transport, integral component of membrane, membrane, peptide:proton symporter activity, oligopeptide transmembrane transporter activity, peptide transmembrane transporter activity, transporter activity, transport, plasma membrane
LOC_Os01g04950	1.6611094576515326	6.099950095561255e-93	Os01g0142800	OsNPF8.1	Putative peptide transporter, Long-distance translocation of dimethylarsinate to rice grai	protein_coding	LOC4325456	NA	Similar to Peptide transporter.	NA	NA	PTR7	PROTEIN TRANSPORTER 7	OsPTR7, OsNPF8.1, NPF8.1, OsNPF8.10, NPF8.10	NITRATE TRANSPORTER 1/PEPTIDE TRANSPORTER 8.1	PROTEIN TRANSPORTER 7	NA	NA	protein NRT1/ PTR FAMILY 8.2	GO:0022857, GO:0055085, GO:0006857, GO:0016021, GO:0016020, GO:0015333, GO:0035673, GO:1904680, GO:0005215, GO:0006810, GO:0005886	transmembrane transporter activity, transmembrane transport, oligopeptide transport, integral component of membrane, membrane, peptide:proton symporter activity, oligopeptide transmembrane transporter activity, peptide transmembrane transporter activity, transporter activity, transport, plasma membrane
LOC_Os01g04950	1.6611094576515326	6.099950095561255e-93	Os01g0142600	NA	Conserved hypothetical protein	protein_coding	LOC4325456	4325456	Conserved hypothetical protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	protein NRT1/ PTR FAMILY 8.2	NA	NA
LOC_Os02g36590	2.882234566511143	1.2308993961639823e-88	Os02g0575700	IIP3	Similar to OSIGBa0097P08.1 protein	protein_coding	LOC4329752	4329752	Similar to OSIGBa0097P08.1 protein.	NA	NA	IIP3	ILA1 INTERACTING PROTEIN 3	OsIIP3	ILA1 interacting protein 3	_	NA	NA	loricrin	NA	NA
LOC_Os03g57970	1.2037494923185197	2.6385099396205484e-83	Os03g0793800	OsLTPG7	Plant lipid transfer protein and hydrophobic protein, helical domain containing protein	protein_coding	LOC4334399	4334399	Plant lipid transfer protein and hydrophobic protein, helical domain containing protein.	NA	NA	NA	NA	OsLTPG7, OsLTPg7	GPI-anchored non-specific lipid transfer protein 7, type G nsLTP 7, type G non-specific lipid transfer protein 7	NA	NA	NA	non-specific lipid transfer protein GPI-anchored 2	GO:0008233, GO:0006508, GO:0006869, GO:0046688	peptidase activity, proteolysis, lipid transport, response to copper ion
LOC_Os01g13210	1.9881944684856883	4.21177168599735e-83	Os01g0233000	OsDREPP1	DREPP plasma membrane polypeptide family protein	protein_coding	LOC4324284	4324284	DREPP plasma membrane polypeptide family protein.	NA	NA	NA	NA	OsDREPP1, DREPP1, RS1	developmentally regulated plasma membrane polypeptide 1	NA	NA	NA	salt stress root protein RS1-like	GO:0046658, GO:0051716	anchored component of plasma membrane, cellular response to stimulus
LOC_Os06g43620	1.6309736306288967	1.0311353220585445e-81	Os06g0643700	NA	Hly-III related domain containing protein	protein_coding	LOC4341641	4341641	Hly-III related domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	heptahelical transmembrane protein ADIPOR1-like	GO:0009744, GO:0009651, GO:0009725, GO:0009788, GO:0016021, GO:0038023, GO:0016020	response to sucrose, response to salt stress, response to hormone, negative regulation of abscisic acid-activated signaling pathway, integral component of membrane, signaling receptor activity, membrane
LOC_Os07g04940	1.317470437501721	6.884548904642918e-81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC_Os07g07790	1.2711491737330505	1.0686856907181178e-80	Os07g0174400	OsLLA6	Similar to Non-specific lipid-transfer protein	protein_coding	LOC9270363	9270363	Similar to Non-specific lipid-transfer protein.	NA	NA	NA	NA	OsLLA6, OsLTPG14, OsLTPg14, LLA6, LTPG14, LTPg14	non-specific lipid transfer protein-like AGP 6, non-specific lipid transfer protein-like arabinogalactan protein 6, GPI-anchored non-specific lipid transfer protein 14, type G nsLTP 14, type G non-specific lipid transfer protein 14	NA	NA	NA	non-specific lipid transfer protein GPI-anchored 2	GO:0008289, GO:0006869	lipid binding, lipid transport
LOC_Os01g63050	1.7289495674136883	6.006934338618769e-77	Os01g0850000	NA	Uncharacterised conserved protein UCP022260 domain containing protein	protein_coding	LOC4324862	4324862	Uncharacterised conserved protein UCP022260 domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC4324862	NA	NA
LOC_Os02g53620	2.0093836583977023	5.347100343457619e-76	Os02g0776400	OsHAP2K	Similar to nuclear transcription factor Y subunit A-3	protein_coding	LOC9270863	9270863	Similar to nuclear transcription factor Y subunit A-3.	NA	NA	HAP2K	HAP2 SUBUNIT OF CCAAT-BOX BINDING COMPLEX	OsHAP2K, NF-YA11, OsNF-YA11, NFYA11	NUCLEAR FACTOR-Y subunit A11, NUCLEAR FACTOR-Y subunit NF-YA11, NF-YA transcription factor 11, NF-YA subunit 11, NF-YA family 11	HAP2 SUBUNIT OF CCAAT-BOX BINDING COMPLEX	NA	NA	nuclear transcription factor Y subunit A-4	GO:0003700, GO:0006355, GO:0003677, GO:0005634, GO:0000981, GO:0006357, GO:0000978, GO:0009753, GO:0009867, GO:0051607	DNA-binding transcription factor activity, regulation of DNA-templated transcription, DNA binding, nucleus, DNA-binding transcription factor activity, RNA polymerase II-specific, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, response to jasmonic acid, jasmonic acid mediated signaling pathway, defense response to virus
LOC_Os03g53650	1.0525379200689533	8.297200958735209e-76	Os03g0747800	RCS3	Cysteine synthase (EC 2.5.1.47	protein_coding	LOC4334101	4334101	O-acetylserine(thiol) lyase, Cysteine synthase, Cysteine biosynthesis, Arsenic detoxification	OsOASTL-A1	O-acetylserine(thiol) lyase A1	RCS3	CYSTEINE SYNTHASE 3	rcs3, OsRCS3, OsOASTL-A1, OASTL-A1	rice cysteine synthase (sulfer, nitrogen and light response)-3, rice cysteine synthase-3, O-acetylserine(thiol) lyase A1	CYSTEINE SYNTHASE 3	NA	NA	cysteine synthase-like	GO:0006535, GO:0030170, GO:0005737, GO:0004124, GO:0016740, GO:0008652, GO:0019344, GO:0005829, GO:0046685	cysteine biosynthetic process from serine, pyridoxal phosphate binding, cytoplasm, cysteine synthase activity, transferase activity, cellular amino acid biosynthetic process, cysteine biosynthetic process, cytosol, response to arsenic-containing substance
LOC_Os01g66900	6.080966391040157	1.482768858464737e-73	Os01g0893700	NA	DOMON domain domain containing protein	protein_coding	LOC4324959	4324959	DOMON domain domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	cytochrome b561 and DOMON domain-containing protein At3g07570	NA	NA
LOC_Os11g05050	1.5236000926717579	1.5475222853426947e-73	Os11g0147800	NA	Similar to Wali7 protein (Fragment)	protein_coding	LOC4349769	4349769	Similar to Wali7 protein (Fragment).	NA	NA	NA	NA	NA	NA	NA	NA	NA	stem-specific protein TSJT1	NA	NA
LOC_Os10g36000	2.2178241114354114	1.1094063098622349e-69	Os10g0503800	OsREM1.2	Similar to Remorin	protein_coding	LOC9268535	9268535	Similar to Remorin.	NA	NA	REM1.2	REMORIN 1.2	OsREM1.2	Remorin 1.2, remorin group 1 member 2	REMORIN 1.2	NA	NA	remorin	NA	NA
LOC_Os10g36000	2.2178241114354114	1.1094063098622349e-69	Os10g0503800	OsREM1.2	Similar to Remorin	protein_coding	LOC9268535	9268535	Non-protein coding transcript.	NA	NA	REM1.2	REMORIN 1.2	OsREM1.2	Remorin 1.2, remorin group 1 member 2	REMORIN 1.2	NA	NA	remorin	NA	NA
LOC_Os07g47210	1.449897942763967	1.0242537832355514e-66	Os07g0668300	OsGELP94	Lipase, GDSL domain containing protein	protein_coding	LOC4344225	4344225	Lipase, GDSL domain containing protein.	NA	NA	GELP94	GDSL ESTERASE/LIPASE PROTEIN 94	OsGELP94, OsGELP94a, OsGELP94b	GDSL esterase/lipase protein 94	GDSL ESTERASE/LIPASE PROTEIN 94	NA	NA	GDSL esterase/lipase At2g23540	GO:0016788, GO:0006629	hydrolase activity, acting on ester bonds, lipid metabolic process
LOC_Os11g31090	1.4522091602259664	3.034807063015874e-66	Os11g0507200	NA	Similar to transferase	protein_coding	LOC4350569	4350569	Similar to transferase.	NA	NA	NA	NA	NA	NA	NA	NA	NA	omega-hydroxypalmitate O-feruloyl transferase	GO:0016747, GO:0050734	acyltransferase activity, transferring groups other than amino-acyl groups, hydroxycinnamoyltransferase activity
LOC_Os12g05050	1.6725260530766577	1.2032714025633678e-65	Os12g0145100	NA	Similar to Wali7 protein (Fragment)	protein_coding	LOC4351488	4351488	Similar to Wali7 protein (Fragment).	NA	NA	NA	NA	NA	NA	NA	NA	NA	stem-specific protein TSJT1	NA	NA
LOC_Os01g63540	1.2202986838607022	1.8036854893711426e-65	Os01g0854800	CYP86A7-2	Similar to Cytochrome P450 86A1 (EC 1.14.-.-) (CYPLXXXVI) (P450-dependent fatty acid omega-hydroxylase)	protein_coding	LOC4324825	4324825	Similar to Cytochrome P450 86A1 (EC 1.14.-.-) (CYPLXXXVI) (P450-dependent fatty acid omega-hydroxylase).	NA	NA	CYP86A7-2	P-450 86A7-2	CYP86A7-2, OsCYP86A7-2	Cytochrome P450 86A7-2, fatty acid omega-hydroxylase	P-450 86A7-2	NA	NA	cytochrome P450 86A1	GO:0016705, GO:0010345, GO:0018685, GO:0005773, GO:0016021, GO:0004497, GO:0005506, GO:0006631, GO:0020037, GO:0016020, GO:0046872, GO:0016491, GO:0009055, GO:0055114, GO:0000041	NA
LOC_Os07g07920	1.6693077031092596	7.542548346763659e-65	Os07g0175500	OsLTPG17	Similar to lipid binding protein	protein_coding	LOC4342533	4342533	Similar to lipid binding protein.	NA	NA	NA	NA	OsLTPG17, OsLTPg17	GPI-anchored non-specific lipid transfer protein 17, type G nsLTP 17, type G non-specific lipid transfer protein 17	NA	NA	NA	non-specific lipid transfer protein GPI-anchored 2	NA	NA
LOC_Os01g61940	2.1969392555654346	8.893935328993874e-64	Os01g0836600	OsABCG3	ATP-binding cassette (ABC) transporter, Half-size ABC transporter of the G family, Pollen wall formatio	protein_coding	LOC4327460	4327460	ATP-binding cassette (ABC) transporter, Half-size ABC transporter of the G family, Pollen wall formation	OsABCG3	ATP-binding cassette protein subfamily G member 3	ABCG3	ABC TRANSPORTER G FAMILY MEMBER 3	OsABCG3	ATP-binding cassette protein subfamily G member 3, ABC transporter superfamily ABCG subgroup member 3	ABC TRANSPORTER G FAMILY MEMBER 3	NA	NA	ABC transporter G family member 6	GO:0055085, GO:0042626, GO:0005524, GO:0005886, GO:0016021, GO:0016020, GO:0140359, GO:0016887	transmembrane transport, ATPase-coupled transmembrane transporter activity, ATP binding, plasma membrane, integral component of membrane, membrane, ABC-type transporter activity, ATP hydrolysis activity
LOC_Os05g37930	1.0356183055567643	6.774638777649645e-62	Os05g0453300	NA	Conserved hypothetical protein	protein_coding	LOC4338970	4338970	Conserved hypothetical protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC4338970	NA	NA
LOC_Os03g07570	1.8865046168145143	1.0983930739955725e-61	Os03g0171900	NA	Similar to Alanine:glyoxylate aminotransferase-like protein (Fragment)	protein_coding	LOC4331779	4331779	Similar to Alanine:glyoxylate aminotransferase-like protein (Fragment).	NA	NA	NA	NA	NA	NA	NA	NA	NA	alanine--glyoxylate aminotransferase 2 homolog 1, mitochondrial	GO:0008483, GO:0030170, GO:0005774, GO:0008270, GO:0008453, GO:0005739, GO:0046686, GO:0016740, GO:0003824, GO:0009436, GO:0019481	transaminase activity, pyridoxal phosphate binding, vacuolar membrane, zinc ion binding, alanine-glyoxylate transaminase activity, mitochondrion, response to cadmium ion, transferase activity, catalytic activity, glyoxylate catabolic process, L-alanine catabolic process, by transamination
LOC_Os06g46799	1.2447468601118992	2.974115334540292e-61	Os06g0681600	prx89	Haem peroxidase family protein	protein_coding	LOC4341861	4341861	Haem peroxidase family protein.	NA	NA	PRX89	PEROXIDASE 89	prx89, OsPRX89	class III peroxidase 89	PEROXIDASE 89	NA	NA	peroxidase 3	GO:0042744, GO:0005576, GO:0098869, GO:0004601, GO:0009506, GO:0009505, GO:0046872, GO:0020037, GO:0006979, GO:0016491, GO:0140825, GO:0055114, GO:0009409, GO:0009651	NA
LOC_Os06g46799	1.2447468601118992	2.974115334540292e-61	Os06g0681600	prx89	Haem peroxidase family protein	protein_coding	LOC4341861	4341861	Similar to peroxidase 39.	NA	NA	PRX89	PEROXIDASE 89	prx89, OsPRX89	class III peroxidase 89	PEROXIDASE 89	NA	NA	peroxidase 3	GO:0042744, GO:0005576, GO:0098869, GO:0004601, GO:0009506, GO:0009505, GO:0046872, GO:0020037, GO:0006979, GO:0016491, GO:0140825, GO:0055114, GO:0009409, GO:0009651	NA
LOC_Os05g38350	1.6331841527852096	3.1066588097056723e-61	Os05g0457800	GPAT	Similar to Glycerol-3-phosphate acyltransferase 5 (EC 2.3.1.15) (AtGPAT5)	protein_coding	LOC4338997	4338997	Similar to Glycerol-3-phosphate acyltransferase 5 (EC 2.3.1.15) (AtGPAT5).	NA	NA	NA	NA	GPAT, OsGPAT	glycerol-3-phosphate acyltransferase	NA	NA	NA	glycerol-3-phosphate acyltransferase 5	GO:0016791, GO:0016021, GO:0016020, GO:0010143, GO:0090447, GO:0016746, GO:0008152, GO:0016311	phosphatase activity, integral component of membrane, membrane, cutin biosynthetic process, glycerol-3-phosphate 2-O-acyltransferase activity, acyltransferase activity, metabolic process, dephosphorylation
